iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
168;17142;4.117259552042161E-5;3.95151471956069E-5;3388;16632;
169;17242;4.117259552042161E-5;3.963895262531315E-5;3404;16731;
170;17344;4.117259552042161E-5;3.972132441507587E-5;3423;16830;
171;17444;4.117259552042161E-5;3.9721917275910096E-5;3442;16929;
172;17543;4.117259552042161E-5;3.9731842811142284E-5;3468;17028;
173;17644;4.1349652662917634E-5;3.984645425822234E-5;3490;17127;
174;17744;4.137018037398643E-5;3.983184796658154E-5;3511;17226;
175;17845;4.167361226871145E-5;3.975843736216797E-5;3525;17325;
176;17944;4.167361226871145E-5;3.973341518974878E-5;3542;17424;
177;18045;4.167361226871145E-5;3.982772486791816E-5;3563;17523;
178;18145;4.167361226871145E-5;3.9924027415443985E-5;3580;17622;
179;18245;4.167361226871145E-5;3.9925142204833366E-5;3603;17721;
180;18346;4.167361226871145E-5;3.980659038335454E-5;3622;17820;
181;18446;4.167361226871145E-5;3.9829322554520055E-5;3641;17919;
182;18546;4.167361226871145E-5;3.985735472876058E-5;3657;18018;
183;18645;4.167361226871145E-5;3.991882267218402E-5;3676;18117;
184;18746;4.1974479516454E-5;3.9924454432987414E-5;3703;18216;
185;18846;4.225114078080108E-5;3.9903016531046796E-5;3725;18315;
186;18947;4.2279722645019446E-5;4.007840787190756E-5;3749;18414;
187;19046;4.2279722645019446E-5;4.009132527346277E-5;3771;18513;
188;19147;4.248088360237893E-5;4.0106588821363336E-5;3791;18612;
189;19248;4.248088360237893E-5;4.0259331518896335E-5;3806;18711;
190;19349;4.248088360237893E-5;4.035072136917177E-5;3828;18810;
191;19448;4.248088360237893E-5;4.049261449362397E-5;3850;18909;
192;19548;4.283022100394038E-5;4.058474682717782E-5;3873;19008;
193;19648;4.283022100394038E-5;4.075832088246503E-5;3892;19107;
194;19748;4.283022100394038E-5;4.0829187453581796E-5;3919;19206;
195;19848;4.283022100394038E-5;4.093305093470754E-5;3940;19305;
196;19948;4.3230157357772786E-5;4.091994875464675E-5;3961;19404;
197;20048;4.3230157357772786E-5;4.104842415231929E-5;3976;19503;
198;20148;4.3237634036665516E-5;4.1013604231394636E-5;4004;19602;
199;20248;4.3237634036665516E-5;4.115109473028624E-5;4029;19701;
200;20348;4.3237634036665516E-5;4.131123708829747E-5;4044;19800;
201;20449;4.38288920056101E-5;4.134382719957834E-5;4068;19899;
202;20549;4.38288920056101E-5;4.118811249179515E-5;4089;19998;
203;20648;4.38288920056101E-5;4.126187382221633E-5;4112;20097;
204;20748;4.3844265170115746E-5;4.14078875267611E-5;4138;20196;
205;20848;4.3952180028129396E-5;4.167729008947198E-5;4160;20295;
206;20948;4.3952180028129396E-5;4.187137683347374E-5;4178;20394;
207;21048;4.3952180028129396E-5;4.210751366690562E-5;4199;20493;
208;21148;4.4029587883057415E-5;4.2190041889381016E-5;4216;20592;
209;21248;4.4029587883057415E-5;4.221549482994208E-5;4237;20691;
210;21347;4.4029587883057415E-5;4.1959163840599314E-5;4258;20790;
211;21447;4.4029587883057415E-5;4.1903406453860364E-5;4276;20889;
212;21547;4.4029587883057415E-5;4.2071475081966244E-5;4301;20988;
213;21647;4.4029587883057415E-5;4.211142504113012E-5;4327;21087;
214;21746;4.4029587883057415E-5;4.2195523890297204E-5;4343;21186;
215;21846;4.4029587883057415E-5;4.216246000196839E-5;4366;21285;
216;21946;4.4294826364280654E-5;4.204173489732941E-5;4391;21384;
217;22046;4.4294826364280654E-5;4.2082534613069425E-5;4417;21483;
218;22145;4.453152832205201E-5;4.221482986887129E-5;4447;21582;
219;22246;4.453152832205201E-5;4.2263482054615814E-5;4476;21681;
220;22346;4.453152832205201E-5;4.241864254852495E-5;4492;21780;
