iterations;bestFitness;averageFitness;mutations;cruces;
2665;6.802721088435374E-5;6.657561919513919E-5;4766;23985;
2670;6.802721088435374E-5;6.602019033449439E-5;4774;24030;
2675;6.802721088435374E-5;6.580784865117599E-5;4785;24075;
2680;6.802721088435374E-5;6.507059348209669E-5;4793;24120;
2685;6.802721088435374E-5;6.491538509258847E-5;4807;24165;
2690;6.802721088435374E-5;6.594867514440966E-5;4817;24210;
2695;6.802721088435374E-5;6.475439013370222E-5;4823;24255;
2700;6.810133478616181E-5;6.50474162652433E-5;4834;24300;
2705;6.810133478616181E-5;6.552530638697588E-5;4843;24345;
2710;6.810133478616181E-5;6.63202665367303E-5;4854;24390;
2715;6.866245536940401E-5;6.609196818351048E-5;4865;24435;
2720;6.866245536940401E-5;6.7110485477412E-5;4874;24480;
2725;6.873797085510036E-5;6.608418595528071E-5;4884;24525;
2730;6.873797085510036E-5;6.718666409361113E-5;4889;24570;
2735;6.873797085510036E-5;6.719238144047573E-5;4897;24615;
2740;6.896551724137931E-5;6.65485058691143E-5;4912;24660;
2745;6.896551724137931E-5;6.556671447252238E-5;4922;24705;
2750;6.896551724137931E-5;6.688767692405668E-5;4927;24750;
2755;6.896551724137931E-5;6.713115728185664E-5;4941;24795;
2760;6.896551724137931E-5;6.742243238696356E-5;4948;24840;
2765;6.896551724137931E-5;6.678378893363129E-5;4955;24885;
2770;6.896551724137931E-5;6.83717883079848E-5;4962;24930;
2775;6.896551724137931E-5;6.698631513725643E-5;4969;24975;
2780;6.896551724137931E-5;6.620418548077289E-5;4980;25020;
2785;6.896551724137931E-5;6.536045955110145E-5;4987;25065;
2790;6.896551724137931E-5;6.504279851812663E-5;4996;25110;
2795;6.896551724137931E-5;6.708642672180043E-5;5004;25155;
2800;6.896551724137931E-5;6.692782150930407E-5;5013;25200;
2805;6.896551724137931E-5;6.699468781105848E-5;5014;25245;
2810;6.896551724137931E-5;6.611450808528978E-5;5025;25290;
2815;6.896551724137931E-5;6.783603235311435E-5;5031;25335;
2820;6.896551724137931E-5;6.696181069000739E-5;5041;25380;
2825;6.896551724137931E-5;6.618615622285478E-5;5049;25425;
2830;6.896551724137931E-5;6.677355733590096E-5;5057;25470;
2835;6.90035881865857E-5;6.41649840542157E-5;5069;25515;
2840;6.90035881865857E-5;6.448017636678026E-5;5080;25560;
2845;6.90035881865857E-5;6.649270083018383E-5;5089;25605;
2850;6.90035881865857E-5;6.534843355334366E-5;5099;25650;
2855;6.90035881865857E-5;6.629384848976117E-5;5108;25695;
2860;6.90035881865857E-5;6.599350967361435E-5;5117;25740;
2865;6.90035881865857E-5;6.69045183626118E-5;5127;25785;
2870;6.90035881865857E-5;6.56738779420847E-5;5135;25830;
2875;6.929046563192905E-5;6.631546919470829E-5;5140;25875;
2880;6.929046563192905E-5;6.750897948492639E-5;5149;25920;
2885;6.929046563192905E-5;6.681234459860521E-5;5161;25965;
2890;6.929046563192905E-5;6.661492023212432E-5;5166;26010;
2895;6.929046563192905E-5;6.738420007251805E-5;5178;26055;
2900;6.929046563192905E-5;6.681461466644638E-5;5184;26100;
2905;6.929046563192905E-5;6.591390527258184E-5;5193;26145;
2910;6.929046563192905E-5;6.52087702835526E-5;5204;26190;
2915;6.929046563192905E-5;6.6204156920856E-5;5211;26235;
2920;6.929046563192905E-5;6.597203410276136E-5;5221;26280;
2925;6.929046563192905E-5;6.672996357426845E-5;5231;26325;
2930;6.929046563192905E-5;6.71044673901835E-5;5242;26370;
2935;6.929046563192905E-5;6.688072078529883E-5;5250;26415;
2940;6.929046563192905E-5;6.648742372120771E-5;5263;26460;
2945;6.929046563192905E-5;6.829026910560115E-5;5272;26505;
2950;6.929046563192905E-5;6.734040247884256E-5;5281;26550;
2955;6.944444444444444E-5;6.721140643630382E-5;5292;26595;
2960;6.944444444444444E-5;6.726485518009576E-5;5300;26640;
2965;6.944444444444444E-5;6.646498643640305E-5;5308;26685;
2970;6.944444444444444E-5;6.713125965500852E-5;5316;26730;
2975;6.948304613674263E-5;6.686035204970796E-5;5327;26775;
2980;6.948304613674263E-5;6.795170302218704E-5;5332;26820;
2985;6.948304613674263E-5;6.767533216965358E-5;5339;26865;
2990;6.956037840845854E-5;6.723890106532802E-5;5346;26910;
2995;6.956037840845854E-5;6.807909468022321E-5;5352;26955;
3000;6.956037840845854E-5;6.763619802451341E-5;5357;27000;
3005;7.010656197420079E-5;6.804086496775545E-5;5364;27045;
3010;7.010656197420079E-5;6.827615207823836E-5;5366;27090;
3015;7.010656197420079E-5;6.779750476649222E-5;5374;27135;
3020;7.010656197420079E-5;6.809871974380935E-5;5381;27180;
3025;7.02247191011236E-5;6.747773700692115E-5;5391;27225;
3030;7.02247191011236E-5;6.665956647590602E-5;5406;27270;
3035;7.02247191011236E-5;6.853422888515988E-5;5418;27315;
3040;7.02247191011236E-5;6.702673515705159E-5;5431;27360;
3045;7.02247191011236E-5;6.581089887013405E-5;5445;27405;
3050;7.030371203599551E-5;6.857388187682719E-5;5458;27450;
3055;7.030371203599551E-5;6.709835916511807E-5;5465;27495;
3060;7.030371203599551E-5;6.770847679722069E-5;5474;27540;
3065;7.030371203599551E-5;6.77769121108912E-5;5482;27585;
3070;7.030371203599551E-5;6.904477147408917E-5;5491;27630;
3075;7.030371203599551E-5;6.873302152746058E-5;5498;27675;
3080;7.030371203599551E-5;6.896668425306739E-5;5505;27720;
3085;7.030371203599551E-5;6.832307829580016E-5;5516;27765;
3090;7.030371203599551E-5;6.804955775146926E-5;5526;27810;
3095;7.030371203599551E-5;6.716261485741407E-5;5534;27855;
3100;7.030371203599551E-5;6.812781680632418E-5;5541;27900;
3105;7.030371203599551E-5;6.81314032063471E-5;5550;27945;
3110;7.030371203599551E-5;6.780935165178292E-5;5557;27990;
3115;7.030371203599551E-5;6.839026003351786E-5;5568;28035;
3120;7.030371203599551E-5;6.812555488750014E-5;5579;28080;
3125;7.030371203599551E-5;6.72074502261485E-5;5587;28125;
3130;7.122507122507122E-5;6.78146458500265E-5;5593;28170;
3135;7.122507122507122E-5;6.786725154957135E-5;5604;28215;
3140;7.122507122507122E-5;6.9631601558534E-5;5613;28260;
3145;7.122507122507122E-5;6.914021158273131E-5;5622;28305;
3150;7.122507122507122E-5;6.774541498640847E-5;5637;28350;
3155;7.122507122507122E-5;6.799395020258041E-5;5646;28395;
3160;7.122507122507122E-5;6.901991060242984E-5;5655;28440;
3165;7.122507122507122E-5;6.943745614662425E-5;5666;28485;
3170;7.122507122507122E-5;6.920713259431213E-5;5671;28530;
3175;7.122507122507122E-5;6.83893303109358E-5;5683;28575;
3180;7.122507122507122E-5;6.899382050226282E-5;5693;28620;
3185;7.122507122507122E-5;6.899774981812917E-5;5705;28665;
3190;7.122507122507122E-5;6.851736044462358E-5;5711;28710;
