Cabecera;Train;Test;Size;Depth;Generaciones;Distintos;Regla;Monticulo;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_14.50.23_06.04.2021.csv;1677.78;1717.172;13;4;1454;42898;(Math.min(((promedioDuraciones()-instancia.p[tarea])+0.5),((intervalo.inicio-instancia.d[tarea])+(0.8*instancia.p[tarea]))));Math.min + + - 0.5 - * promedioDuraciones() instancia.p[tarea] null null intervalo.inicio instancia.d[tarea] 0.8 instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.33.07_06.04.2021.csv;1765.2;1795.029;15;4;2399;36111;(((instancia.p[tarea]+intervalo.inicio)/(Math.max(intervalo.inicio,instancia.d[tarea])))/((Math.max(instancia.d[tarea],intervalo.inicio))-(intervalo.inicio-instancia.p[tarea])));/ / - + Math.max Math.max - instancia.p[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.34.07_06.04.2021.csv;1648.08;1659.036;11;4;5959;24642;(((instancia.p[tarea]+promedioDuraciones())+intervalo.inicio)/(Math.max((instancia.p[tarea]+intervalo.inicio),instancia.d[tarea])));/ + Math.max + intervalo.inicio + instancia.d[tarea] instancia.p[tarea] promedioDuraciones() null null instancia.p[tarea] intervalo.inicio null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.35.22_06.04.2021.csv;1776.4;1807.906;15;4;3043;29157;(((Math.min(instancia.d[tarea],intervalo.inicio))-(Math.max(intervalo.inicio,instancia.d[tarea])))-((intervalo.inicio/instancia.d[tarea])*(instancia.p[tarea]-intervalo.inicio)));- - * Math.min Math.max / - instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.36.37_06.04.2021.csv;1644.76;1650.104;13;4;3404;32582;(((promedioDuraciones()+instancia.p[tarea])+(intervalo.inicio+promedioDuraciones()))/(Math.max(instancia.d[tarea],(intervalo.inicio+instancia.p[tarea]))));/ + Math.max + + instancia.d[tarea] + promedioDuraciones() instancia.p[tarea] intervalo.inicio promedioDuraciones() null null intervalo.inicio instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.37.37_06.04.2021.csv;1662.5;1681.849;13;4;1505;38543;((Math.min(intervalo.inicio,(instancia.d[tarea]-instancia.p[tarea])))-((0.3*instancia.p[tarea])+(instancia.d[tarea]-instancia.p[tarea])));- Math.min + intervalo.inicio - * - null null instancia.d[tarea] instancia.p[tarea] 0.3 instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.39.07_06.04.2021.csv;1672.98;1711.153;13;4;1883;38368;(Math.min(((0.1-0.8)*instancia.p[tarea]),(Math.min((intervalo.inicio-promedioDuraciones()),(intervalo.inicio-instancia.d[tarea])))));Math.min * Math.min - instancia.p[tarea] - - 0.1 0.8 null null intervalo.inicio promedioDuraciones() intervalo.inicio instancia.d[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.40.07_06.04.2021.csv;1684.16;1716.412;11;4;2538;33241;(Math.min(((0.4*promedioDuraciones())-instancia.p[tarea]),((Math.max(instancia.p[tarea],intervalo.inicio))-instancia.d[tarea])));Math.min - - * instancia.p[tarea] Math.max instancia.d[tarea] 0.4 promedioDuraciones() null null instancia.p[tarea] intervalo.inicio null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.41.22_06.04.2021.csv;1797.64;1814.75;13;4;6463;17531;((instancia.d[tarea]/(Math.max(instancia.d[tarea],intervalo.inicio)))/((Math.max(instancia.d[tarea],intervalo.inicio))*(instancia.d[tarea]+instancia.p[tarea])));/ / * instancia.d[tarea] Math.max Math.max + null null instancia.d[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.42.22_06.04.2021.csv;1785.32;1819.093;15;4;3115;26692;(((instancia.p[tarea]+instancia.d[tarea])+(Math.max(instancia.p[tarea],instancia.d[tarea])))/((instancia.p[tarea]+instancia.d[tarea])*(Math.max(intervalo.inicio,instancia.d[tarea]))));/ + * + Math.max + Math.max instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.43.22_06.04.2021.csv;1728.78;1766.43;13;4;2175;34807;(((Math.max(instancia.d[tarea],promedioDuraciones()))/instancia.p[tarea])*((promedioDuraciones()+intervalo.inicio)-(Math.max(intervalo.inicio,instancia.d[tarea]))));* / - Math.max instancia.p[tarea] + Math.max instancia.d[tarea] promedioDuraciones() null null promedioDuraciones() intervalo.inicio intervalo.inicio instancia.d[tarea] ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.44.37_06.04.2021.csv;1728.78;1766.43;15;4;1490;32487;(((Math.max(instancia.d[tarea],promedioDuraciones()))/(promedioDuraciones()*instancia.p[tarea]))*((promedioDuraciones()+intervalo.inicio)-(Math.max(instancia.d[tarea],intervalo.inicio))));* / - Math.max * + Math.max instancia.d[tarea] promedioDuraciones() promedioDuraciones() instancia.p[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] intervalo.inicio ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.45.37_06.04.2021.csv;1720.48;1727.171;13;4;3620;31709;(((promedioDuraciones()+instancia.d[tarea])/(Math.max(instancia.p[tarea],instancia.d[tarea])))/(Math.max((intervalo.inicio+instancia.p[tarea]),instancia.d[tarea])));/ / Math.max + Math.max + instancia.d[tarea] promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.46.52_06.04.2021.csv;1662.5;1681.531;9;4;1991;37214;((instancia.p[tarea]*0.7)-(Math.max((instancia.p[tarea]+intervalo.inicio),instancia.d[tarea])));- * Math.max instancia.p[tarea] 0.7 + instancia.d[tarea] null null null null instancia.p[tarea] intervalo.inicio null null ;
C:/Users/luisb/Desktop/Experimento_Presentacion/gp_60_60_4_4_0_1_0_0.0_0_0_0_GMT_15.48.07_06.04.2021.csv;1642.18;1673.469;15;4;974;38667;(((promedioDuraciones()/0.4)-(promedioDuraciones()/instancia.p[tarea]))/(Math.max((instancia.d[tarea]-intervalo.inicio),(0.7*instancia.p[tarea]))));/ - Math.max / / - * promedioDuraciones() 0.4 promedioDuraciones() instancia.p[tarea] instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] ;
