iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
52;5247;2.924660739354235E-5;2.729561465870697E-5;1060;5148;
53;5347;2.924660739354235E-5;2.7364859026831884E-5;1080;5247;
54;5444;2.924660739354235E-5;2.7489916063026163E-5;1103;5346;
55;5541;2.9387563183260845E-5;2.75558120506554E-5;1118;5445;
56;5638;2.9387563183260845E-5;2.75481139524127E-5;1135;5544;
57;5736;2.9387563183260845E-5;2.7594191647351106E-5;1152;5643;
58;5834;2.9512454255695902E-5;2.7677750347441125E-5;1167;5742;
59;5932;3.0189590629151068E-5;2.7816681466641363E-5;1188;5841;
60;6030;3.057729941291585E-5;2.796784602587732E-5;1202;5940;
61;6132;3.057729941291585E-5;2.803895997402601E-5;1230;6039;
62;6231;3.057729941291585E-5;2.8105011005799268E-5;1249;6138;
63;6331;3.057729941291585E-5;2.809736754929143E-5;1271;6237;
64;6431;3.057729941291585E-5;2.8315018305262117E-5;1291;6336;
65;6532;3.0998140111593304E-5;2.855888572211078E-5;1317;6435;
66;6635;3.1075201988812927E-5;2.87564214665887E-5;1340;6534;
67;6736;3.1075201988812927E-5;2.8891599247646142E-5;1363;6633;
68;6840;3.1075201988812927E-5;2.8792217213533108E-5;1387;6732;
69;6940;3.1075201988812927E-5;2.8712324357518968E-5;1411;6831;
70;7038;3.1187624750499E-5;2.9018497353592727E-5;1433;6930;
71;7137;3.1261723146179817E-5;2.916339557126487E-5;1452;7029;
72;7238;3.1269543464665416E-5;2.941953248721737E-5;1471;7128;
73;7337;3.1269543464665416E-5;2.948810468010026E-5;1492;7227;
74;7436;3.1269543464665416E-5;2.9529172063125454E-5;1509;7326;
75;7534;3.1269543464665416E-5;2.9510322274129245E-5;1529;7425;
76;7630;3.1269543464665416E-5;2.9402176365237055E-5;1542;7524;
77;7726;3.138731952291274E-5;2.9452447037519678E-5;1563;7623;
78;7824;3.138731952291274E-5;2.9584900627515897E-5;1584;7722;
79;7921;3.138731952291274E-5;2.954578225610471E-5;1602;7821;
80;8019;3.1395202813010174E-5;2.9481013744048056E-5;1630;7920;
81;8114;3.1395202813010174E-5;2.9424156313543264E-5;1654;8019;
82;8212;3.1395202813010174E-5;2.9427395182642863E-5;1670;8118;
83;8309;3.1395202813010174E-5;2.937421065318648E-5;1696;8217;
84;8405;3.1395202813010174E-5;2.9438830534914302E-5;1714;8316;
85;8502;3.162555344718533E-5;2.93116048038407E-5;1742;8415;
86;8603;3.162555344718533E-5;2.9198335025721355E-5;1762;8514;
87;8703;3.162555344718533E-5;2.9209745153438445E-5;1779;8613;
88;8800;3.162555344718533E-5;2.922444617931913E-5;1802;8712;
89;8898;3.2701111837802485E-5;2.921620448573897E-5;1818;8811;
90;8996;3.2701111837802485E-5;2.929267893342161E-5;1834;8910;
91;9094;3.2701111837802485E-5;2.920090586346211E-5;1860;9009;
92;9193;3.2701111837802485E-5;2.926094660908172E-5;1878;9108;
93;9293;3.2701111837802485E-5;2.9446472668397124E-5;1896;9207;
94;9394;3.2701111837802485E-5;2.938600971875836E-5;1914;9306;
95;9494;3.2701111837802485E-5;2.9485776668268472E-5;1934;9405;
96;9590;3.2701111837802485E-5;2.960155425998329E-5;1957;9504;
97;9687;3.2701111837802485E-5;2.9647049484002697E-5;1971;9603;
